SolutionID,CompletionTime,TotalWaitingTime
187,1439.31,3215.66
188,1439.31,3215.66
189,1439.31,3215.66
190,1439.31,3215.66
191,1439.31,3215.66
192,1439.31,3215.66
193,1439.31,3215.66
194,1439.31,3215.66
195,1439.31,3215.66
196,1439.31,3215.66
197,1439.31,3215.66
198,1439.31,3215.66
199,1439.31,3215.66
200,1439.31,3215.66
201,1439.31,3215.66
202,1439.31,3215.66
203,1439.31,3215.66
204,1439.31,3215.66
205,1439.31,3215.66
206,1439.31,3215.66
207,1439.31,3215.66
208,1439.31,3215.66
209,1439.31,3215.66
210,1439.31,3215.66
211,1439.31,3215.66
212,1439.31,3215.66
213,1439.31,3215.66
214,1439.31,3215.66
215,1439.31,3215.66
216,1439.31,3215.66
217,1439.31,3215.66
218,1439.31,3215.66
219,1439.31,3215.66
220,1439.31,3215.66
221,1439.31,3215.66
222,1439.31,3215.66
223,1439.31,3215.66
224,1439.31,3215.66
225,1439.31,3215.66
226,1439.31,3215.66
227,1439.31,3215.66
228,1439.31,3215.66
229,1439.31,3215.66
230,1439.31,3215.66
231,1439.31,3215.66
232,1439.31,3215.66
233,1439.31,3215.66
234,1439.31,3215.66
235,1439.31,3215.66
236,1439.31,3215.66
237,1439.31,3215.66
238,1439.31,3215.66
239,1439.31,3215.66
240,1439.31,3215.66
241,1439.31,3215.66
242,1439.31,3215.66
243,1439.31,3215.66
244,1439.31,3215.66
245,1439.31,3215.66
246,1439.31,3215.66
247,1439.31,3215.66
248,1439.31,3215.66
249,1439.31,3215.66
250,1439.31,3215.66
251,1439.31,3215.66
252,1439.31,3215.66
253,1439.31,3215.66
254,1439.31,3215.66
255,1439.31,3215.66
256,1439.31,3215.66
257,1439.31,3215.66
258,1439.31,3215.66
259,1439.31,3215.66
260,1439.31,3215.66
261,1439.31,3215.66
262,1439.31,3215.66
263,1439.31,3215.66
264,1439.31,3215.66
265,1439.31,3215.66
266,1439.31,3215.66
267,1439.31,3215.66
268,1439.31,3215.66
269,1439.31,3215.66
270,1439.31,3215.66
271,1439.31,3215.66
272,1439.31,3215.66
273,1439.31,3215.66
274,1439.31,3215.66
275,1439.31,3215.66
276,1439.31,3215.66
277,1439.31,3215.66
278,1439.31,3215.66
279,1439.31,3215.66
280,1439.31,3215.66
281,1439.31,3215.66
282,1439.31,3215.66
283,1439.31,3215.66
284,1439.31,3215.66
285,1439.31,3215.66
286,1439.31,3215.66
287,1439.31,3215.66
288,1439.31,3215.66
289,1439.31,3215.66
290,1439.31,3215.66
291,1439.31,3215.66
292,1439.31,3215.66
293,1439.31,3215.66
294,1439.31,3215.66
295,1439.31,3215.66
296,1439.31,3215.66
297,1439.31,3215.66
298,1439.31,3215.66
299,1439.31,3215.66
300,1439.31,3215.66
301,1439.31,3215.66
302,1439.31,3215.66
303,1439.31,3215.66
304,1439.31,3215.66
305,1439.31,3215.66
306,1439.31,3215.66
307,1439.31,3215.66
308,1439.31,3215.66
309,1439.31,3215.66
310,1439.31,3215.66
311,1439.31,3215.66
312,1439.31,3215.66
313,1439.31,3215.66
314,1439.31,3215.66
315,1439.31,3215.66
316,1439.31,3215.66
317,1439.31,3215.66
318,1439.31,3215.66
319,1439.31,3215.66
320,1439.31,3215.66
321,1439.31,3215.66
322,1439.31,3215.66
323,1439.31,3215.66
324,1439.31,3215.66
325,1439.31,3215.66
326,1439.31,3215.66
327,1439.31,3215.66
328,1439.31,3215.66
329,1439.31,3215.66
330,1439.31,3215.66
331,1439.31,3215.66
332,1439.31,3215.66
333,1439.31,3215.66
334,1439.31,3215.66
335,1439.31,3215.66
336,1439.31,3215.66
337,1439.31,3215.66
338,1439.31,3215.66
339,1439.31,3215.66
340,1439.31,3215.66
341,1439.31,3215.66
342,1439.31,3215.66
343,1439.31,3215.66
344,1439.31,3215.66
345,1439.31,3215.66
346,1439.31,3215.66
347,1439.31,3215.66
348,1439.31,3215.66
349,1439.31,3215.66
350,1439.31,3215.66
351,1439.31,3215.66
352,1439.31,3215.66
353,1439.31,3215.66
354,1439.31,3215.66
355,1439.31,3215.66
356,1439.31,3215.66
357,1439.31,3215.66
358,1439.31,3215.66
359,1439.31,3215.66
360,1439.31,3215.66
361,1439.31,3215.66
362,1439.31,3215.66
363,1439.31,3215.66
364,1439.31,3215.66
365,1439.31,3215.66
366,1439.31,3215.66
367,1439.31,3215.66
368,1439.31,3215.66
369,1439.31,3215.66
370,1439.31,3215.66
371,1439.31,3215.66
372,1439.31,3215.66
373,1439.31,3215.66
374,1439.31,3215.66
375,1439.31,3215.66
376,1439.31,3215.66
377,1439.31,3215.66
378,1439.31,3215.66
379,1439.31,3215.66
